id,is_pass
1626_45,0.501798685515784
11020_130,0.983482017611662
12652_146,0.391398025051004
7038_72,0.014959054894374
888_71,0.377696028694513
18922_62,0.414188398626505
5499_29,0.97570351732874
10150_125,0.797837761145329
10158_95,0.881434866359673
6215_17,0.931374599246346
6719_121,0.976087955981226
14498_175,0.874644838591804
15169_153,0.937355567676468
11094_23,0.153904383204351
17853_11,0.889916248160163
15437_157,0.944221717157924
7156_53,0.721371054780203
1406_69,0.601581231040937
6127_32,0.619180424277284
19983_89,0.915294229954962
14606_87,0.90119769729756
15316_112,0.884574779830708
2729_157,0.768319388976093
15099_94,0.247137085479737
1226_135,0.60008784546108
5097_64,0.119366568800197
7456_19,0.951775958440559
5846_70,0.745024361478968
12159_44,0.533909997110657
17292_94,0.410861455871515
7038_74,0.322101370502583
10956_131,0.982563538009612
8828_136,0.902573452025335
10477_27,0.964528313539503
18548_82,0.954623455055215
4093_82,0.361873248311702
299_160,0.841619540737455
6165_117,0.951131295656239
1139_80,0.323504944267382
6498_93,0.681504493232361
18332_127,0.891298804466518
4167_88,0.983691840603849
5207_80,0.508835634444781
9653_39,0.919392005231156
9730_31,0.90871714906167
14676_158,0.776424241307701
13104_57,0.947047180133066
4695_32,0.434200271661868
8544_81,0.988051155353675
3175_103,0.926504596793696
5294_167,0.618255088985518
16934_97,0.493254588617597
16711_154,0.802481139925733
11574_83,0.06177761145814
8183_84,0.252772776441562
1986_164,0.943736729231749
10067_21,0.769434988197564
3588_154,0.975184020964817
10785_65,0.274901305137648
1858_144,0.751081338610671
10801_174,0.823855558219936
1645_149,0.607834003928332
8584_128,0.858266640836035
16381_47,0.811882329751978
10042_28,0.97593948670847
9725_125,0.721410400484157
3906_95,0.66219641926171
13921_40,0.51647704551923
20096_103,0.355635901922424
10021_101,0.384504152876276
1035_19,0.696166817725013
105_128,0.88479572038703
7720_87,0.543361738137479
12174_50,0.518877443988647
12560_89,0.432800178297515
11847_86,0.823455711904903
10240_22,0.789025980303032
7852_82,0.562826975739094
3462_104,0.692915022969088
3592_103,0.821784321353941
18365_120,0.935292249087741
10326_23,0.246446696948741
10334_135,0.900155855142865
2893_118,0.99243352683785
20072_67,0.210462722965125
3308_9,0.272401751964865
14550_170,0.709224342977583
1926_132,0.76506372974463
6580_14,0.227132764181216
2504_126,0.290877555617571
16734_43,0.476280274686012
5279_121,0.907573434336109
11361_180,0.237065999881063
9156_143,0.9022999422951
8157_135,0.802171467449319
4985_159,0.754664659010777
7191_79,0.895774468789511
13297_140,0.201669399018791
10763_94,0.733098351710123
15041_44,0.727198971474091
12038_82,0.9388357726669
8503_133,0.887955262580206
18334_11,0.399911758632606
7731_77,0.107237053134664
8658_141,0.936160742865282
7531_73,0.170345114198355
412_143,0.964514867604873
15721_109,0.730715458848665
10921_25,0.886104881733205
3366_73,0.203940432737212
13524_88,0.760136196780118
19818_73,0.150951125496949
1800_90,0.726497707065098
15120_182,0.870593052096755
14355_94,0.879083793123225
19593_83,0.834352835168132
6051_74,0.487979544775838
1300_44,0.533225892096177
7326_79,0.562302326634341
18295_152,0.899204197123915
1322_73,0.368640574254372
15009_159,0.373141513645952
19400_114,0.696252011184811
10190_141,0.454974644291051
9530_166,0.796091129781161
9155_136,0.924635026895276
3281_114,0.519101393489203
6962_16,0.946653475356823
14439_88,0.672707262330205
11766_36,0.700625431813037
2567_14,0.867590561943524
13337_51,0.865122874795819
3155_14,0.689309563806498
8431_43,0.558768960900556
16864_100,0.365362121567306
